,Title,Publication Information,Publisher,Author,year,Abstract
135,Harvesting unstructured data in heterogenous business environments; exploring modern web scraping technologies,RM Vording - 2021 - essay.utwente.nl,[PDF] utwente.nl,RM Vording ,2021,"… For collecting data efficiently, web scraping technology can be used. Web scraping, also 
known as web harvesting or web extraction and considered to be a part of data mining, is a 
technique that consists of retrieving data from the internet and stores it into a file or database [25]. …"
136,Web Scraping based Smart irrigation system with telegram alerts for farmers,"N Telagam, U Somanaidu, B Naresh… - 2021 Fourth …, 2021 - ieeexplore.ieee.org",Web Scraping based Smart irrigation system with telegram alerts for farmers,"N Telagam, U Somanaidu, B Naresh… ","2021, 2021","… The website link data for housing market analysis and behaviour of humans are explained 
using the web scraping method [12]. To conduct a … An innovative irrigation system is proposed 
in this article, and it entirely depends on the web scraping technique. This web scraping …"
137,Pengembangan Aplikasi Analisis Sentimen Twitter Menggunakan Metode Naïve Bayes Classifier (Studi Kasus SAMSAT Kota Malang),"IF Rozi, EN Hamdana, MBI Alfahmi - Jurnal Informatika Polinema, 2018 - jip.polinema.ac.id",[PDF] polinema.ac.id,"IF Rozi, EN Hamdana, MBI Alfahmi ",2018,"… Data diperoleh melalui cara web scrapping dan sumber teks yang digunakan sebagai topik 
bahasan adalah Sistem Administrasi Manunggal Satu Atap (SAMSAT) Malang Kota. Proses 
klasifikasi dilakukan melalui serangkaian tahapan seperti preproses (case folding, cleaning, …"
138,"Barcelona seen through the eyes of TripAdvisor: Actors, typologies and components of destination image in social media platforms","L Garay Tamajón, G Cànoves Valiente - Current Issues in Tourism, 2017 - Taylor & Francis","Barcelona seen through the eyes of TripAdvisor: Actors, typologies and components of destination image in social media platforms","L Garay Tamajón, G Cànoves Valiente ",2017,"… Information from the posts was captured using webscrapping methods and the resulting 
documents were analysed with Computer-Aided Text … With respect to the information in the 
Turisme de Barcelona web, the treatment was simpler because the information was relatively fixed …"
139,[PDF][PDF] Football (soccer) analytics: A case study on the availability and limitations of data for football analytics research,"R Asif, MT Zaheer, SI Haque… - International Journal of …, 2016 - academia.edu",[PDF] academia.edu,"R Asif, MT Zaheer, SI Haque… ",2016,"… and the eventual method used were to gather the rating data was to create a Web Scrapper. 
… Therefore the scrapping process had to be automated. There was a need to create an … code 
also known as Callback Hell within the web community. To eradicate this problem, CasperJS …"
140,A comparative study of various approaches to adaptive web scraping,"K Mehta, M Salvi, R Dand, V Makharia, P Natu - ICDSMLA 2019, 2020 - Springer",A comparative study of various approaches to adaptive web scraping,"K Mehta, M Salvi, R Dand, V Makharia, P Natu ","2019, 2020","… Google Docs: Google sheets is a popular scrapping tool. The scraper uses the IMPORTXML 
function to scrape data from websites. This … The web browser is connected to the AWS 
web server using REST API [4]. The scrapehub handles all client requests and assigns the …"
141,Threats of price scraping on e-commerce websites: attack model and its detection using neural network,"RU Rahman, DS Tomar - Journal of Computer Virology and Hacking …, 2021 - Springer",Threats of price scraping on e-commerce websites: attack model and its detection using neural network,"RU Rahman, DS Tomar ",2021,"… part we present the existing research on web bot detection techniques and in second part we 
present the automated web scraping tools. … We have developed the price scrapping attack 
model in two parts. First phase is the construction of a web crawler and the second phase is …"
142,Faceted Search on Amazon Data using Naïve Bayes Approach,"Y Yogesh, KK Bhatia, N Duhan… - … , and Intelligent Systems …, 2021 - ieeexplore.ieee.org",Faceted Search on Amazon Data using Naïve Bayes Approach,"Y Yogesh, KK Bhatia, N Duhan… ",2021,"… mining and web mining in an information retrieval system for web data integration. Webpages 
in web scrapping are produced of amazon E-commerce website by markup languages which 
are text based such as (HTML or XHTML) files. In this work, web scrapping considers that …"
143,[CITATION][C] Web scrapping meets survey design: Combining forces. BigSurv Conference,"O Ten Bosch, D Windmeijer, A van Delden… - October",Save,"O Ten Bosch, D Windmeijer, A van Delden… ",,
144,[PDF][PDF] Web-Based Automation Testing Framework,"A Jain, S Prabu, SMR Ghalib - International Journal of Computer …, 2012 - Citeseer",[PDF] psu.edu,"A Jain, S Prabu, SMR Ghalib ",2012,"… For GUI Application we are creating web objects of the web elements like button,dropdown,graph 
,page etc so that test cases can use the object … Web Scrapping Algorithm fetches html 
source code for producing locators for uniquely identifying and locating the web objects. The …"
145,Application of ontology in semantic web searching of flight ticket as a study case,"TN Turnip, EK Silalahi, YAV Sinulingga… - Journal of Physics …, 2019 - iopscience.iop.org",[PDF] iop.org,"TN Turnip, EK Silalahi, YAV Sinulingga… ",2019,"… Semantic web is considered as one solution to the problem. Semantic Web requires 
appropriate scrapping of data to retrieve the online data from specified websites. By using 
ontology, the semantic web can collect the data and enhance the search process of flight ticket. …"
146,[PDF][PDF] Semantic text analysis using machine learning,"B Joga, S Sattiraju, V Kandula, NM Kallempudi… - 2019 - academia.edu",[PDF] academia.edu,"B Joga, S Sattiraju, V Kandula, NM Kallempudi… ",2019,"… We have built a demonstration system using these technics like Web Scrapping, Fuzzy C-Means 
and Hierarchy Clustering for a search engine which gives accurate results which is a more 
advantage when compared to other Search engines. Searching with a traditional, …"
147,[PDF][PDF] Automatic Approach For Lifelog Moments Retrieval using Transfer Learning and Rule-based Matching.,"FB Abdallah, G Feki, O Saadallah, A Jarraya… - CLEF (Working …, 2020 - dei.unipd.it",[PDF] unipd.it,"FB Abdallah, G Feki, O Saadallah, A Jarraya… ",2020,"… Also, we use web scrapping to add new image classes to the fine-tuning. The images are 
sorted according to their score obtained from the classification using the fine-tuning with 
MobilenetV2 [34] or by using the average score given by the Place CNN trained on Place 365 …"
148,Sistem Pendukung Keputusan Rekomendasi Barang Online Menggunakan Metode Web Scrapping dan Fuzzy-Simple Additive Weighting (SAW)(Studi Kasus: E …,B Saputra - 2016 - repository.ub.ac.id,Sistem Pendukung Keputusan Rekomendasi Barang Online Menggunakan Metode Web Scrapping dan Fuzzy-Simple Additive Weighting (SAW)(Studi Kasus: E …,B Saputra ,2016,"Electronic Commerce (E-commerce) adalah media yang digunakan untuk melakukan 
transaksi jual beli online, E-commerce mengalami pertumbuhaan yang sangat pesat pada 
satu dekade terakhir, ditunjukkan dengan maraknya iklan E-commerce yang tayang di televisi, …"
149,REAL ESTATE INVESTMENT INFORMATION SYSTEM USING DATA MINING FROM WEB DATA,"S Nanayakkara - … of International Conference on Real Estate …, 2020 - journals.sjp.ac.lk",[PDF] sjp.ac.lk,S Nanayakkara ,2020,"… look for newly available data from web sites, news articles, and … Web scrapping tool used 
can automatically search in search engines to find the relevant advertisement published websites. 
The web scrapping tool visits websites in background and browse through web pages of …"
150,[HTML][HTML] The recent 10-year landscape of aortic dissection research: a bibliometric analysis,"J Wu, R Zhao, D Zhuang, J Zhu, H Zheng… - Journal of Thoracic …, 2021 - ncbi.nlm.nih.gov",[HTML] nih.gov,"J Wu, R Zhao, D Zhuang, J Zhu, H Zheng… ",2021,"… We aimed to comprehensively analyze all the literature related to AD on PubMed in the 
past decade using Web Scrapping technology, from different aspects of researchers, journals, 
institutions, and countries, etc., revealing the research dynamics in this field, and to a certain …"
151,Conducting high impact research with limited financial resources (while working from home),"PHP Hanel - Meta-Psychology, 2020 - repository.essex.ac.uk",[PDF] essex.ac.uk,PHP Hanel ,2020,"… In the present paper, I discuss nine such possibilities, including meta-analyses, secondary 
data analyses, web-scrapping, scientometrics, or sharing one’s expert knowledge (eg, writing 
tutorials). Most of these possibilities can be done from home, as they require only access to …"
152,[PDF][PDF] Information and influence in social network of the Open Source community,"D Celińska - 9th Annual Conference of the EuroMed Academy of …, 2016 - iris.unito.it",[PDF] unito.it,D Celińska ,"9, 2016","… We utilize the unique data set obtained by webscrapping GitHub in February and March, 
2016. Our findings prove the existence of powerlaw-like scale behaviour and the statistically 
significant correlation between the structures of both networks. This means that the relations of …"
153,Scrapping over data: are the data scrapers' days numbered?,"F Jennings, J Yates - Journal of Intellectual Property Law & …, 2009 - academic.oup.com",Scrapping over data: are the data scrapers' days numbered?,"F Jennings, J Yates ",2009,"… As the web continues to develop and we edge ever closer to a ‘Semantic Web’, it is inevitable 
there will be a further rise in data scraping and the unauthorized use of website content. With 
a lack of case law or dedicated legislation in this area, it is imperative that the content-rich …"
154,Focused Web Crawlers on Domain-Specific Retrieval Systems,"IO Suzanti, F Razi, EMS Rochman… - IOP Conference Series …, 2021 - iopscience.iop.org",[PDF] iop.org,"IO Suzanti, F Razi, EMS Rochman… ",2021,"… web crawler, a process crawling webpage to obtain information about its content. Focused 
web crawler is one of web crawler that scrapping … there are some food recipes do not include 
staples used so that web crawlers are needed to find out the ingredients. With this application …"
155,Just In Mobile Augmented Reality Technology (JIMART) Application,"NFA Aziz, ANM Suhaimi, NA Wozzari… - … Conference on Kansei …, 2018 - Springer",Just In Mobile Augmented Reality Technology (JIMART) Application,"NFA Aziz, ANM Suhaimi, NA Wozzari… ",2018,"… By using web scrapping technique, the data can be extracted from two different drugstore’s 
website which are Guardian and Watsons. We … Web Scrapping In this application, it consists 
of the web scrapping tool for the web technology to extract the data from 2 different sources …"
156,[PDF][PDF] End user mashup programming environments,"O Beletski - T-111.5550 Seminar on Multimedia, 2008 - Citeseer",[PDF] psu.edu,O Beletski ,"111, 5550, 2008","… Dapper uses wizard approach that is very simple to understand, but its functionality is limited 
to scrapping from the web pages and RSS with … That procedure has the same purpose as 
web scrapping definition in pipes of Dapper. That basically means that different paradigms …"
157,Towards web-based monitoring framework for performance measurement in higher education,"O Cherednichenko, O Yanholenko - 2013 - repository.kpi.kharkov.ua",[PDF] kpi.kharkov.ua,"O Cherednichenko, O Yanholenko ",2013,"… IR Model is based on XML retrieval and web scrapping methods [6, 15]. It must implement 
the procedure of extraction of necessary data from the definite web page for further processing. 
The reliability and validity of such data must be checked. Evaluation Model combines …"
158,Automatic fashion recommendation system,"P Panduwawala, MT De Silva - 2021 - repository.kln.ac.lk",Automatic fashion recommendation system,"P Panduwawala, MT De Silva ",2021,"… The proposed platform has been implemented using techniques such as web scraping 
and Convolutional Neural Networks (CNN). In the proposed solution, first, download the 
images from INSTAGRAM using web scrapping. After that, the female images were filtered by …"
159,Deep Neural Network Based Prediction of Leak-Off Pressure in Offshore Norway,"JC Choi, E Skurtveit, L Grande - Offshore Technology Conference, 2019 - onepetro.org",Deep Neural Network Based Prediction of Leak-Off Pressure in Offshore Norway,"JC Choi, E Skurtveit, L Grande ",2019,"… We used a Python-based web scrapping tool to collect data from more than 6400 wells (1800 
exploration wells and 4600 development wells) from the NPD factpages. Then, we analyzed 
the collected data to investigate impacts of spatial and regional factors on the collected …"
160,Web Scraping Methods Used in Predicting Real Estate Prices,"T Jach - International Conference on Computational Collective …, 2021 - Springer",Web Scraping Methods Used in Predicting Real Estate Prices,T Jach ,2021,"… According to [19], web scrapping was understood as a simple process (called “pattern mining… 
, along with good practices during the evaluation and scrapping of a material used as a basis 
… and holistic approach to obtaining data from live web-pages which are subject to constant …"
161,Data Reconstruction of Abandoned Websites,"I Fister, S Fong, Y Zhuang - 2014 2nd International Symposium …, 2014 - ieeexplore.ieee.org",[PDF] iztok-jr-fister.eu,"I Fister, S Fong, Y Zhuang ","2014, 2, 2014","… The proposed solution consist of four steps: an analysis of the abandoned servers that held 
these websites, identifying the structure of the abandoned web page sets, web scrapping, and 
preserving and visualizing these page sets. In order to test prototype solution, some steps …"
162,Stock price prediction using data analytics,"S Tiwari, A Bharadwaj, S Gupta - … International Conference on …, 2017 - ieeexplore.ieee.org",Stock price prediction using data analytics,"S Tiwari, A Bharadwaj, S Gupta ",2017,"Accurate financial prediction is of great interest for investors. This paper proposes use of 
Data analytics to be used in assist with investors for making right financial prediction so that 
right decision on investment can be taken by Investors. Two platforms are used for operation: …"
163,Sudomy: Information Gathering Tools for Subdomain Enumeration and Analysis,"RA Ramadhan, RM Aresta… - IOP Conference Series …, 2020 - iopscience.iop.org",[PDF] iop.org,"RA Ramadhan, RM Aresta… ",2020,"… Passive techniques obtain information through a number of ways by utilizing third-party 
resources such as using Web APIs, Information … uses resources from third parties using either 
the Web API, library or web scrapping. The web scrapping time testing process uses the regular …"
164,[PDF][PDF] An IoT Middleware for Air Pollution Monitoring in Smart Cities: A Situation Recognition Model,"T Mandava, S Chen, O Isafiade… - Proceedings of the IST …, 2018 - researchgate.net",[PDF] researchgate.net,"T Mandava, S Chen, O Isafiade… ",2018,"… We employ the concept of web scrapping to extract data from the cloud based storage files 
(the concept of cloud based storage file system should also briefly be mentioned in the four 
key layers, to make clear at what point this is used/introduced). Data is temporarily stored in …"
165,Smart Environmental Solution for Modern Urbanization using Mobile Application.,"WA Fahim, PR Sarkar, SS Tonmoy… - … and Virtual Mobile …, 2021 - ieeexplore.ieee.org",[PDF] researchgate.net,"WA Fahim, PR Sarkar, SS Tonmoy… ",2021,"… For increasing people's awareness, it shows real-time air quality and pollution level supported 
on web scrapping data from different websites … Web Scraping: Web scraping is one of the 
features of collecting data from various websites. Mainly in web scrapping, we try to link our …"
166,[PDF][PDF] A Project Report On Data Scrapping In Real Estate Housing Industry,S Jyothsna - 2020 - 203.201.63.46,[PDF] 203.201.63.46,S Jyothsna ,"2020, 203, 201, 63, 46","… Developing a website with a web scrapping tool is the main aim of the project. The Web 
scrapping tool in the website helps the website to extract data from other resources and data 
warehouses through internet. The data extracted can be used for various purposes especially …"
167,[PDF][PDF] Analysis and Design e-Government Website for Special Allocation Fund,"H Noprisson - Int. J. Comput. Sci. Eng, 2019 - ijcse.net",[PDF] ijcse.net,H Noprisson ,2019,"… Web Scraping Technique Web scrapping or Web harvesting or also called Web data extraction 
is the techniques to acquire some information from the content of Web pages automatically 
and generates them into the Web pages (well known as “scraper site”) [9][10][11]. There …"
168,A Novel Approach for Searching Linguistic Synonyms through Parts of Speech Tagging,"F Hussain, U Qamar, S Zeb - … International Conference on Web …, 2016 - ieeexplore.ieee.org",[PDF] researchgate.net,"F Hussain, U Qamar, S Zeb ",2016,"… mining from unstructured data of web is challenging. Finding useful information which matches 
user need from the bulk of web pages is a … To realize this technique, pattern generation is 
taken into consideration with the help of Parts-of-Speech tagging and Web Scrapping. Two …"
169,Scrapping PovcalNet's Distributions for Poverty Research,M Moatsos - 2018 - mpra.ub.uni-muenchen.de,[PDF] uni-muenchen.de,M Moatsos ,2018,"… For example, with the distributional data that are becoming available via web scrapping, one 
cannot change the equivalence scales used … requested by the script during scrapping 
(PLasked, note that this is not always in agreement with the poverty line reported by the website.): …"
170,CodeAliker'-Plagiarism Detection on the Cloud,"N Upreti - arXiv preprint arXiv:1208.2486, 2012 - arxiv.org",[PDF] arxiv.org,N Upreti ,"1208, 2486, 2012","… Web Scrapping based approaches use the World Wide Web to check for Plagiarism instances 
from a large corpus of data. The scope of Web Scrapping is huge and lots of published 
work exists on such systems. Our focus for this research is on systems based on a local …"
171,Using e-reputation for sentiment analysis: Twitter as a case study,"DE Salhi, A Tari, MT Kechadi - International Journal of Cloud …, 2021 - igi-global.com",Using e-reputation for sentiment analysis: Twitter as a case study,"DE Salhi, A Tari, MT Kechadi ",2021,"… Web Scrapping Webscrapingisatechniqueofextractingcontentfromwebsites,viaascriptorprogram,inorderto 
transformittoallowitsuseinanothercontext.Datacollectionisthesystematicapproachtocollecting 
andmeasuringinformationfromavarietyofsources.Inmanycases,data…"
172,Towards a social and semantic web platform for sharing endogenous knowledge to adapt to climate change,"H TRAWINA, M Sadouanouan… - 2020 15th Iberian …, 2020 - ieeexplore.ieee.org",Towards a social and semantic web platform for sharing endogenous knowledge to adapt to climate change,"H TRAWINA, M Sadouanouan… ","2020, 15, 2020","… (explicit) knowledge bases, (D) the web scrapping layer which describes how scientific 
data from the field available on the web is collected and integrated into the platform and 
finally (E) the discovery layer that describes the techniques used to discover new knowledge. …"
173,Face Recognition Authenticated Voice Assistant System for the disabled,"D Aravindan, P Supriya - 2021 Second International …, 2021 - ieeexplore.ieee.org",Face Recognition Authenticated Voice Assistant System for the disabled,"D Aravindan, P Supriya ","2021, 2021","… This system takes voice command as input request through a microphone using speech 
recognition module and according to the request it does either web automation with selenium, 
get any information from a Wikipedia article through web scrapping, perform machine reading …"
174,Who is forked on GitHub? Collaboration among open source developers,D Celińska - 2016 - ideas.repec.org,Who is forked on GitHub? Collaboration among open source developers,D Celińska ,2016,"… We utilize a unique database, obtained by web-scrapping GitHub from January to March, 
2016. The results of the analysis show that higher reputation in the community improves up 
to a certain degree the probability of gaining collaborators, but developers are also driven by …"
175,Data Science Talents Mining from Online Recruitment Market in China Based on Data Mining Technique,"S Yang, A Abas - Journal of ICT in Education, 2021 - ojs.upsi.edu.my",[PDF] upsi.edu.my,"S Yang, A Abas ",2021,"… The research method uses Web Scrapping Tool to grab data science talent demand 
information from major domestic recruitment websites and then obtain data science talent demand 
through information analysis. Major findings preliminary assessed the data talent market in …"
176,Contextual deep search using long short term memory recurrent neural network,"MA Rahman, F Ahmed, N Ali - 2019 International Conference …, 2019 - ieeexplore.ieee.org",Contextual deep search using long short term memory recurrent neural network,"MA Rahman, F Ahmed, N Ali ","2019, 2019","… web search which is several hundred times larger area than the existing shallow web. This 
paper also talks about the theory of manipulating web … On the other hand, the web scrapper 
was built with Python because of vast efficient libraries of web scrapping already available in …"
177,Sentiment Analysis Application on Twitter for E-reputation,"DE Salhi, A Tari, MT Kechadi - 2019 6th International …, 2019 - ieeexplore.ieee.org",[PDF] researchgate.net,"DE Salhi, A Tari, MT Kechadi ","2019, 6, 2019","… 1) Web scrapping: Web scraping is a technique of extracting content from websites, via a 
script or program, in order to transform it to allow … comments collection We used web scrapping 
to extract comments on Twitter, the following python code in Fig. 3 illustrates how we did the …"
178,"A programmatic tool for automatic ease in coronavirus drug discovery through programmatically automated data mining, QSAR and In Silico modelling","BG AS, R Madaj, A Sanker, MSV Tresanco, HA Davidd… - 2020 - chemrxiv.org",[PDF] chemrxiv.org,"BG AS, R Madaj, A Sanker, MSV Tresanco, HA Davidd… ",2020,"… [1] which can be programmatically accessed through web API packages such as PUB-REST 
and python web scrapping techniques [2,3]. … leads for coronavirus through programmatic 
access of PubChem database and python web scrapping techniques [8,9]. The workflow of the …"
179,[HTML][HTML] The impact of investor attention during COVID-19 on investment in clean energy versus fossil fuel firms,"D Wan, R Xue, M Linnenluecke, J Tian, Y Shan - Finance Research Letters, 2021 - Elsevier",[HTML] sciencedirect.com,"D Wan, R Xue, M Linnenluecke, J Tian, Y Shan ",2021,"… (2017), we used web scrapping techniques to construct a variable that reflects investor 
attention to the COVID-19 pandemic based on the Baidu search index (BSI) 2 , the most popular 
web search tool in China. Consistent with existing measurements of attention variables (Han …"
180,Key Phrase Extraction & Applause Prediction,"K Yadav, L Choudhary - arXiv preprint arXiv:2101.03235, 2021 - arxiv.org",[PDF] arxiv.org,"K Yadav, L Choudhary ","2101, 3235, 2021","… While Web Scrapping is an easy way to get a large volume of data in a relatively short time 
frame, it adds stress to the server where the source is hosted. We scrapped the data from 
medium using selanium. Data mining or gathering data is a very primitive step in the data …"
181,[HTML][HTML] Increasing online shop revenues with web scraping: a case study for the wine sector,"O Jorge, A Pons, J Rius, C Vintró, J Mateo… - British Food …, 2020 - emerald.com",[HTML] emerald.com,"O Jorge, A Pons, J Rius, C Vintró, J Mateo… ",2020,"… All the information required is gathered by using a Web Scrapping Script that updates 
data continuously and helps to define the optimal price and therefore to position products, 
under competitive and profitability criteria, in each marketplace. As stated by (Milev, 2017) a …"
182,[PDF][PDF] Flexible Environment for Integration of Polish Medical Market Data.,"M Lesniak, M Macura, J Dajda - Stud. Inform. Univ., 2013 - researchgate.net",[PDF] researchgate.net,"M Lesniak, M Macura, J Dajda ",2013,"… The paper discusses the problem of data integration in the context of the medical market 
and proposes a prototype environment based on the ETL process and web-scrapping 
techniques. The solution is flexible which means that it allows for adding new data sources and …"
183,Penerapan teknik web scraping pada mesin pencari artikel ilmiah,"A Josi, LA Abdillah - arXiv preprint arXiv:1410.5777, 2014 - arxiv.org",[PDF] arxiv.org,"A Josi, LA Abdillah ","1410, 5777, 2014","… web through bots or web crawlers that crawls the web periodically. The process of retrieval 
of information from existing websites is called ""web … Search engine mengumpulkan informasi 
dari web melalui program bot atau web crawler yang secara periodik menelusuri web. …"
184,Analysis of US Population using Data Analytics and Data Science Tools,"SK Paratala Rajagopal - International Journal of Science and …, 2020 - papers.ssrn.com",Analysis of US Population using Data Analytics and Data Science Tools,SK Paratala Rajagopal ,2020,"… data from the website using web scrapping. The advantages of python is due to the inbuilt 
libraries which can be used to perform the action quickly and effectively. Let’s see how we 
can extract the web links from the HTML code of the “Current Estimates” web link. “Figure 1” …"
185,Secure Web Accessibility Protocol for Challenged Users,"AA Roy, P Joglekar, AM Abhijit - 2021 12th International …, 2021 - ieeexplore.ieee.org",Secure Web Accessibility Protocol for Challenged Users,"AA Roy, P Joglekar, AM Abhijit ","2021, 12, 2021","… search engine rankings, abuse of free service accounts, web scrapping bots, web crawlers, 
compromised online polling and many other bot … There is no constraint on what the regular 
users can or cannot access but visually impaired users are not able to surf the web freely …"
186,Movie Success Prediction from Movie Trailer Engagement and Sentiment Analysis,"A Emmanuvel, V Bhagat, L Jacob - Data Science and Security, 2021 - Springer",Movie Success Prediction from Movie Trailer Engagement and Sentiment Analysis,"A Emmanuvel, V Bhagat, L Jacob ",2021,"… In the current research, movie data is collected through web scrapping of Sacnilk [1] and 
using the API of TMDB [2], YouTube [3] and Twitter [4]. For the prediction of movies, previous 
researchers only considered Hindi movies in their data, while the current research includes …"
187,Medindo a incerteza econômica no brasil,"PC Ferreira, ICL de Oliveira, LF Lima, A Barros - 2017 - bibliotecadigital.fgv.br",Medindo a incerteza econômica no brasil,"PC Ferreira, ICL de Oliveira, LF Lima, A Barros ",2017,"… Nos últimos anos a literatura internacional acerca da mensuração e dos efeitos da incerteza 
na economia foi impulsionada por técnicas de web-scrapping, onde notícias são extraídas 
de veículos de informação online, como as páginas dos jornais, e o texto extraído analisado …"
188,Twitter Scrapping for Profiling Education Staff,"H Herlawati, RT Handayanto, I Ekawati… - … on Informatics and …, 2020 - ieeexplore.ieee.org",Twitter Scrapping for Profiling Education Staff,"H Herlawati, RT Handayanto, I Ekawati… ",2020,"… Gephi application is used for network analysis after scrapping the network using Twecoll, 
a Python-based scrapping application. A web-based application is also created including the 
Apache-based server and Python-based script. The result shows that the scrapped account …"
189,Indonesia's Fake News Detection using Transformer Network,"J Fawaid, A Awalina, RY Krisnabayu… - … and Technology 2021, 2021 - dl.acm.org",[PDF] arxiv.org,"J Fawaid, A Awalina, RY Krisnabayu… ","2021, 2021","… Using Web Scrapping on this page, we got 1116 data consisting of valid news and fake 
news. This dataset will be combined with other available datasets. The dataset is then processed 
by eliminating irrelevant words and dividing the data into training and testing data with a …"
190,Automatic detection of sentiment and theme of English and Ukrainian song lyrics,"U Kryva, M Dilai - 2019 IEEE 14th International Conference on …, 2019 - ieeexplore.ieee.org",Automatic detection of sentiment and theme of English and Ukrainian song lyrics,"U Kryva, M Dilai ","2019, 14, 2019","… In order to collect the research data, we have selected 138 Ukrainian and 138 English 
singers/bands and used Genius API (for English song lyrics) on genius.com and Python library 
for web scrapping BeautifulSoup (for Ukrainian song lyrics) on nashe.com.ua. In total we …"
191,"Automated In Silico identification of drug candidates for coronavirus through a novel programmatic tool and extensive computational (MD, DFT) studies of select drug …","BG AS, R Madaj, A Sanker, MSV Tresanco, HA Davidd… - 2020 - chemrxiv.org",[PDF] chemrxiv.org,"BG AS, R Madaj, A Sanker, MSV Tresanco, HA Davidd… ",2020,"… [1] which can be programmatically accessed through web API packages such as PUB-REST 
and python web scrapping techniques [2,3]. … leads for coronavirus through programmatic 
access of PubChem database and python web scrapping techniques [8,9]. The workflow of the …"
192,Self configurable air pollution monitoring system using IoT and data mining techniques,"MS Binsy, N Sampath - … Data Communication Technologies and Internet of …, 2018 - Springer",Self configurable air pollution monitoring system using IoT and data mining techniques,"MS Binsy, N Sampath ",2018,"… These values are obtained from the website using web scrapping. Mode switching is done 
based on this predicted data. Sixteen predicted … 4.7 Web Scrapping Data from websites 
can be extracted in bulk using the technique called web scrapping. The data extracted can be …"
193,Modeling loyalty intention and Word-of-mouth behavior towards fast moving technology products (FMTP),"S Chatterjee - International Journal of E-Services and Mobile …, 2016 - igi-global.com",[PDF] researchgate.net,S Chatterjee ,2016,"… While SEM has been used to build the structural model of loyalty intention using a survey 
dataset, 3SLS analysis has been performed on a dataset of consumers' actions obtained 
from web-scrapping to model loyalty behavior in terms of WOM. The results suggest the …"
194,Automatic Categorized Corpus Creation of Hindi Poetries Based on Rasa (s) for Linguistics Research,"K Pal, BV Patel - Smart Systems: Innovations in Computing, 2022 - Springer",Automatic Categorized Corpus Creation of Hindi Poetries Based on Rasa (s) for Linguistics Research,"K Pal, BV Patel ",2022,"… The data on Web is scattered. Extracting and creating ready corpus through Web scrapping 
with negligible human intervention will ease the process corpus creation. The corpus of 
1072 poetry documents is extracted in 04:20:23 (HH:MM:SS) time. The corpus is then …"
195,Strategies to access web-enabled urban spatial data for socioeconomic research using R functions,"A Vallone, C Chasco, B Sánchez - Journal of Geographical Systems, 2020 - Springer",Strategies to access web-enabled urban spatial data for socioeconomic research using R functions,"A Vallone, C Chasco, B Sánchez ",2020,"… Finally, two web scrapping functions allowed us to download and build the following 
variables for entrepreneurship in companies and the self-employed: number of entrepreneurial 
activities, entrepreneurial activity index, sectoral participation rates and local sectorial …"
196,[PDF][PDF] An Automated Detection System of Cross Site Request Forgery (CSRF) Vulnerability in Web Applications,"MA Ismail, MM Hassan - ijisrt.com",[PDF] ijisrt.com,"MA Ismail, MM Hassan ",,"… is to develop an automated web application vulnerability detection model for detecting the 
CSRF vulnerability in web applications. My proposed … Web Scrapping: To implement a CSRF 
vulnerability detector we have first used a web scrapping technique to extract data from URL. …"
197,Cloud Data Scraping for the Assessment of Outflows from Dammed Rivers in the EU. A Case Study in South Eastern Europe,"Y Krestenitis, C Skoulikaris - Sustainability, 2020 - agris.fao.org",Cloud Data Scraping for the Assessment of Outflows from Dammed Rivers in the EU. A Case Study in South Eastern Europe,"Y Krestenitis, C Skoulikaris ",2020,"… The implemented methodology relies on the use of custom-made web scrapping tools to 
access dams’ hourly outflows in combination with … of the European Union (EU) have been 
regarded as web-based databases. The outcomes of the methodological approach demonstrate …"
198,A Hybrid Method for Fake News Detection using Cosine Similarity Scores,"S Mhatre, A Masurkar - 2021 International Conference on …, 2021 - ieeexplore.ieee.org",A Hybrid Method for Fake News Detection using Cosine Similarity Scores,"S Mhatre, A Masurkar ","2021, 2021","… Web scrapping is used to extract title and content at the given URL. The title of the news 
article can be used to perform a google search and collect more news articles with same news 
title and date. The dataset used in this work is already webscraped, hence, strengthening the …"
199,Video Content-Based Advertisement Recommendation System using Classification Technique of Machine Learning,"RC Konapure, L Lobo - Journal of Physics: Conference Series, 2021 - iopscience.iop.org",[PDF] iop.org,"RC Konapure, L Lobo ",2021,"… We also create a video advertisement's dataset by web scrapping. This proposed system … 
like YouTube, Netflix and many other such web services. Recommendation systems are inevitable 
in … A web service was developed to present content to consumers, marked by a range of …"
200,[PDF][PDF] KEEP SCRAPING: DATA VISUALIZATION ABOUT SUICIDE RATE USING DATA JOURNALISM TOOLS,"AR Urizar, UH Hernandez-Belmonte - … , мультимедійні та web …, 2020 - pmw.nure.ua",[PDF] nure.ua,"AR Urizar, UH Hernandez",2020,"… In this language, there is a framework called Beatifulsoup that we use to implement all the 
web scrapping routines. In the creation of our … create desktop, mobile, and web applications. 
Our target is to release the application on the internet to be accessible using web browsers. …"
